x_coordinate,y_coordinate,Cell_Type,TCN_Label
2476.817073,332.4186992,Stroma,5
3165.07732,331.4742268,Stroma,5
3277.755208,333.3107639,Thelp,5
3064.287879,334.6818182,Stroma,5
2122.946197,334.5565863,Stroma,5
2327.337778,335.3688889,Stroma,5
1699.933333,337.0083333,Stroma,5
928.4456522,337.9782609,Tumor,1
1248.89726,336.1643836,Treg,5
1126.198642,337.5483871,Stroma,1
1174.954545,340.4431818,Treg,5
1403.47569,340.8186597,Treg,5
3477.368304,338.8705357,Treg,5
934.6720698,353.5012469,Stroma,1
1775.227273,343.2545455,Epithelial,5
1819.352645,340.8236776,Stroma,5
2936.2393,345.2645914,Stroma,5
1232.469349,345.3505747,Treg,5
917.8958333,345.2395833,Tumor,1
2492.333913,347.7356522,Epithelial,5
956.641791,345.7164179,Tumor,1
1868.006085,346.7464503,Treg,5
1063.535714,346.5833333,Tumor,1
1188.474026,348.8896104,Treg,5
997.3571429,350.0,Stroma,1
1626.034921,349.2698413,Stroma,5
3115.181818,350.4761905,Stroma,5
1897.630435,350.7282609,Stroma,5
1957.885714,351.3333333,Thelp,5
3461.478261,351.526087,Epithelial,5
2244.34058,352.2753623,Stroma,5
1677.64127,354.3650794,Stroma,5
2746.060914,354.3502538,Stroma,5
2223.13961,356.0162338,Stroma,5
1502.680307,355.3337596,Thelp,5
3127.008475,356.5508475,Stroma,5
3171.546392,356.1443299,Thelp,5
1939.247423,356.6494845,Treg,5
2892.964286,357.5089286,Stroma,5
1336.995918,354.1278912,Stroma,5
965.1103448,356.9724138,Tumor,1
2242.315789,358.5,Stroma,5
2545.0,358.2857143,Stroma,5
744.2321792,360.0488798,Tumor,1
1048.573152,365.5987934,Tumor,1
1218.034188,359.6794872,Treg,5
1751.582547,360.120283,Stroma,5
2847.773124,359.965096,Treg,5
3490.65651,361.7146814,Treg,5
1530.859532,361.826087,Treg,5
3101.412935,363.1716418,Stroma,5
719.3448276,364.4482759,Stroma,1
1397.934896,364.0078125,Treg,5
2325.457237,364.4473684,Stroma,5
708.827957,367.5537634,Tumor,1
2864.05,366.575,Stroma,5
2622.661685,367.298913,Treg,5
1824.25,367.8662791,Stroma,5
1843.2,367.7066667,Stroma,5
3184.736264,368.6996337,Stroma,5
889.8538622,369.0939457,Tumor,1
2963.051282,369.4957265,Stroma,5
3143.436765,369.6029412,Treg,5
911.5859873,372.3694268,Tumor,1
1021.074074,372.8148148,Stroma,1
1907.808219,374.6712329,Stroma,5
3198.606061,372.6464646,Stroma,5
2841.056338,373.6690141,Treg,5
1151.567932,368.4911392,MPtoDC,1
2258.416452,374.5449871,Stroma,5
1990.844612,376.5764411,Stroma,5
2205.12963,376.9722222,Stroma,5
1087.659259,379.0592593,Stroma,1
2113.205128,379.6080586,Stroma,5
2220.691176,379.4117647,Stroma,5
763.3846154,378.3846154,Tumor,1
1292.815126,380.605042,Tcyt,5
3257.741514,380.7493473,Stroma,5
2318.785714,381.6428571,Stroma,5
2241.642384,383.2119205,Stroma,5
784.6784566,383.7926045,Stroma,1
2382.215054,383.3978495,Stroma,5
2086.85947,384.9796334,Stroma,5
1644.818951,384.8747885,Thelp,5
1361.747143,384.5842857,Tcyt,5
1429.400749,390.6507491,Treg,5
2137.185841,390.539823,Treg,5
3432.436782,391.7701149,Thelp,5
1840.973294,394.5163205,Stroma,5
2933.846154,394.5714286,Stroma,5
2989.567308,395.3425481,Treg,5
1056.714286,396.0,Tumor,1
2914.309417,395.2668161,Stroma,5
3258.222222,395.5,Stroma,5
585.3727273,396.2272727,Tumor,1
813.5704698,396.557047,Stroma,1
1558.217765,396.3510029,Treg,5
1691.1,399.05,MPtoDC,5
2020.749245,399.0120846,Stroma,5
2607.866667,399.4666667,Stroma,5
824.0119048,399.1785714,Stroma,1
1277.731148,401.0622951,Tcyt,5
1295.327044,400.4654088,Tcyt,5
1651.413793,399.2758621,MPtoDC,5
1623.133011,401.3603386,Treg,5
1015.415385,404.8153846,Tumor,1
789.2151899,405.1139241,Tumor,1
1550.723077,405.3846154,Treg,5
835.2985612,405.9820144,Stroma,1
811.0277778,406.9074074,MPtoDC,1
1092.73499,407.8240166,Tumor,1
800.4777778,406.4555556,Stroma,1
2120.183417,408.9120603,Stroma,5
1563.256098,409.0365854,Treg,5
1792.932836,410.9365672,Stroma,5
1776.557214,410.3532338,Stroma,5
1124.805927,418.0191205,Tumor,1
2917.442308,413.1153846,Stroma,5
3466.012733,412.712047,Epithelial,5
1398.229437,413.4675325,Thelp,5
2158.0,414.2105263,Stroma,5
2286.211045,414.7218935,Stroma,5
2390.769697,415.7848485,Stroma,5
3495.615922,420.2625698,Stroma,5
3266.197211,415.5756972,Stroma,5
3420.331533,414.7602592,Epithelial,5
2614.238938,417.8584071,Stroma,5
584.4361702,418.6276596,Tumor,1
790.2,418.1209877,Stroma,1
2240.072674,419.6046512,Stroma,5
2599.83237,419.0578035,Stroma,5
1756.918605,417.8604651,Stroma,5
2582.061453,419.0,Stroma,5
2757.51954,418.5057471,Stroma,5
1018.47561,414.6097561,Tumor,1
1282.907407,419.3518519,Tcyt,5
1978.0,420.0967742,Stroma,5
2226.070175,421.0877193,Stroma,5
1769.881773,422.4433498,Stroma,5
2064.329923,421.9053708,Stroma,5
1641.380117,422.4210526,Tcyt,5
1728.922956,424.6556604,Stroma,5
1565.284875,424.6035242,Tcyt,5
3027.034632,424.3852814,Stroma,5
1795.152113,423.9492958,Stroma,5
1976.3375,425.4,Stroma,5
820.7769231,425.6358974,Stroma,1
1846.8,427.4,Stroma,5
1151.654664,429.6186579,Tumor,1
1175.571865,430.146789,Tcyt,1
1965.844444,431.3555556,Stroma,5
560.6642202,431.5449541,Tumor,1
2005.518438,431.5900217,Thelp,5
2425.492625,432.7817109,Stroma,5
3547.915789,430.8105263,MPtoDC,5
2519.288889,433.037037,Stroma,5
2804.701422,432.5829384,Stroma,5
1816.05,433.9,Thelp,5
2088.044444,434.2666667,Stroma,5
1499.213318,433.5869074,Tcyt,5
1022.667033,430.4208791,Tumor,1
3321.357143,438.0062112,Stroma,5
1248.607064,436.2119205,Tumor,5
2596.327402,439.3042705,Stroma,5
1955.690722,437.5670103,Stroma,5
1612.727711,439.0843373,Treg,5
760.2294118,438.6323529,Stroma,1
2205.656338,438.3830986,Stroma,5
840.7411243,439.5133136,Stroma,1
2818.55914,440.5752688,Stroma,5
3162.419118,441.627451,Stroma,5
780.83,442.1533333,Stroma,1
1587.0,441.8,MPtoDC,5
1794.0,442.5723684,Treg,5
2886.338235,442.3713235,Stroma,5
3019.250409,443.1325696,Treg,5
744.4150943,443.1383648,Tumor,1
1752.986842,443.6184211,Thelp,5
1120.818182,443.4545455,Tumor,1
3358.268499,443.7272727,Epithelial,5
1806.636364,445.5181818,Epithelial,5
3531.706897,445.635468,Stroma,5
559.0909091,446.3636364,Tumor,1
1302.852778,445.9347222,Tumor,5
2010.388021,446.4375,Stroma,5
3558.056604,446.1698113,Stroma,5
1878.723611,448.1625,Stroma,5
601.2758621,448.5862069,Tumor,1
1158.683544,446.1139241,Tumor,1
1269.458262,446.6030664,Tumor,5
2946.275362,448.884058,Stroma,5
873.9322034,451.5254237,Stroma,1
2684.481481,451.8888889,Stroma,5
1191.409091,453.4090909,Tumor,1
530.6883853,454.3909348,Tumor,6
3251.433962,453.5283019,Stroma,5
1166.270677,454.3984962,Tcyt,1
1908.70073,454.9343066,Epithelial,5
734.8202247,455.1516854,Stroma,1
1963.458472,456.6112957,Stroma,5
2951.352941,456.1764706,Stroma,5
2492.452055,457.1643836,Stroma,5
893.2650334,458.6926503,Stroma,1
2513.519231,458.5027473,Stroma,5
1634.063584,461.6396917,MPtoDC,5
921.5,461.0,Tumor,1
960.6666667,460.254902,Tumor,1
1713.266328,454.3751814,Treg,5
1604.842801,462.8454425,Thelp,5
1989.796646,461.1928721,Stroma,5
762.8088065,462.8006952,Stroma,1
1919.934307,465.3333333,Treg,5
3273.9,463.67,Stroma,5
2065.029499,464.0855457,Stroma,5
3528.574074,461.6296296,Stroma,5
3294.784653,465.3267327,Stroma,5
830.2939787,464.012987,Stroma,1
2232.594714,466.3964758,Stroma,5
3055.8,466.0,Stroma,5
1130.404082,467.7673469,Tumor,1
596.8823529,467.4117647,Tumor,1
937.6,467.96,Tumor,1
1950.336283,467.0766962,Stroma,5
3101.3,466.42,Stroma,5
507.5265018,467.3462898,Stroma,6
2164.755869,469.7746479,Treg,5
2310.640788,470.7300116,Stroma,5
1748.901987,471.3258278,Treg,5
800.4727669,474.1633987,Stroma,1
3227.567568,473.1351351,Stroma,5
1929.595174,476.4155496,Treg,5
1522.970149,478.2089552,Tumor,5
3096.22,476.94,Stroma,5
1885.512097,476.9879032,Stroma,5
3106.90625,478.65625,Stroma,5
908.0160428,476.2085561,Stroma,1
1319.069204,479.6435986,Tumor,5
2047.163594,478.4792627,Stroma,5
958.6,479.2,Tumor,1
2626.777778,479.5,Stroma,5
3241.054795,479.1917808,Stroma,5
3139.105932,480.4004237,Stroma,5
1286.439636,480.5489749,Tumor,1
2169.122093,480.8604651,Treg,5
2252.279302,482.8753117,Stroma,5
1503.153846,482.5384615,Stroma,1
2181.313131,482.7525253,Treg,5
3501.49694,483.0416157,Epithelial,5
3535.867188,484.5885417,Epithelial,5
2386.727811,483.2662722,Stroma,5
1799.335526,478.1348684,Treg,5
1709.998442,485.7429907,Thelp,5
2141.690031,485.3333333,Treg,5
2470.259649,486.5438596,Stroma,5
935.2685512,489.3003534,Stroma,1
1730.315789,488.3157895,MPtoDC,5
1140.732441,489.0468227,Tumor,1
1689.560302,489.8969849,Thelp,5
899.7740864,488.7657807,Stroma,1
3099.304147,491.2258065,Stroma,5
1948.956186,491.935567,Tcyt,5
1992.272289,491.5951807,Stroma,5
2445.404605,491.3322368,Stroma,5
2792.184332,489.7235023,Treg,5
3557.360987,492.7881166,Epithelial,5
1361.585586,492.5375375,Stroma,5
3031.730469,495.4023438,Stroma,5
3412.785124,495.4338843,Stroma,5
1305.124224,495.5962733,Tumor,5
1382.63067,493.1965443,Tumor,5
2307.229371,495.6573427,Stroma,5
1823.085714,498.1077922,Treg,5
2253.072202,497.1155235,Stroma,5
2809.705446,505.7339109,Treg,5
1674.828784,498.3796526,Stroma,5
3434.132075,499.8490566,MPtoDC,5
1464.728814,504.0135593,Tumor,1
1491.90293,501.6227106,Tcyt,1
1774.733524,506.2034384,Stroma,5
2837.93921,502.9483283,Treg,5
972.8483685,502.0153551,Stroma,1
1924.851419,503.3522538,Epithelial,5
3610.915254,502.0169492,MPtoDC,5
2490.694915,503.4745763,Stroma,5
620.270903,504.8846154,Tumor,6
1289.975291,502.7398256,Tumor,1
877.5444444,505.2166667,Stroma,1
2869.5,506.0,Stroma,5
2511.067376,507.9042553,Stroma,5
3513.215686,506.9264706,Treg,5
1356.334073,512.1986681,Stroma,5
1403.097872,506.6553191,Stroma,5
2968.43128,502.4483412,Treg,5
591.5739645,506.964497,Tumor,6
3259.975169,508.8250564,Treg,5
2708.391304,509.1256039,Stroma,5
994.5681818,510.5378788,Stroma,1
1479.508475,512.9728814,Stroma,1
576.8900524,515.4109948,Tumor,6
1391.858586,513.0707071,Stroma,5
2039.164649,511.7118644,Stroma,5
1449.827697,503.6618357,Tumor,5
2061.849817,512.967033,Treg,5
2387.972018,515.1693667,Treg,5
2158.864865,514.6756757,Treg,5
3530.214286,514.0714286,Thelp,5
2728.466165,515.962406,Stroma,5
912.8548387,516.4112903,Stroma,1
2832.962069,516.1448276,Treg,5
1311.567652,518.5116641,Tumor,1
2181.947876,517.3320463,Epithelial,5
3586.779273,517.4589502,Epithelial,5
2414.322034,518.3220339,Treg,5
2115.194954,518.6215596,Epithelial,5
2085.877301,518.5848671,Treg,5
755.3333333,519.8888889,Tumor,1
616.5333333,519.9939394,Tumor,1
2640.593315,521.5153203,Stroma,5
3094.821782,520.8712871,Stroma,5
1288.909091,521.9204545,Tumor,1
1382.239437,522.1338028,Tumor,5
1850.682213,520.9219089,Treg,5
988.2389706,523.8345588,Stroma,1
2471.307263,522.5698324,Treg,5
3023.3125,523.375,Stroma,5
2222.069444,523.5138889,Stroma,5
2662.455479,522.4794521,Stroma,5
774.8888889,525.0444444,Tumor,1
954.3690987,524.5107296,Stroma,1
1595.839104,525.6720978,Stroma,5
2247.263339,524.6712565,Stroma,5
3616.035088,522.4561404,Thelp,5
926.6004843,526.283293,Stroma,1
1437.815331,527.2926829,Tumor,1
2929.958333,526.1944444,Treg,5
1028.5825,528.22,Stroma,1
1103.0,529.1204819,Tumor,1
2340.948905,530.1532847,Stroma,5
725.8052147,530.148773,Tumor,1
1387.206897,536.1724138,Tumor,1
1237.540323,530.8064516,Tumor,1
2457.937662,529.9948052,Thelp,5
2870.53252,531.3394309,Stroma,5
1342.352313,530.5978648,Tcyt,1
2716.877976,531.4464286,Stroma,5
1278.637931,530.4482759,Tumor,1
2140.592129,535.2898032,Stroma,5
3374.37037,534.0666667,Stroma,5
3502.219285,534.3530327,Stroma,5
2306.341463,533.3495935,Stroma,5
2765.710078,535.4976744,Stroma,5
2800.460759,533.7164557,Stroma,5
592.5297767,536.7233251,Tumor,6
1882.093418,533.1125265,Stroma,5
3612.8,536.0,Epithelial,5
3177.17806,533.8783784,Stroma,5
1259.180995,536.6877828,Tumor,1
2509.940426,538.106383,Stroma,5
2277.812128,536.4007134,Stroma,5
3022.647577,533.0881057,Stroma,5
2561.897436,538.519943,Stroma,5
1095.2,538.2,Tumor,1
2953.129151,542.7832103,Tcyt,5
938.848329,540.3213368,Stroma,1
617.6361702,539.2,Tumor,6
3353.178571,539.6978022,Treg,5
2040.106157,541.8174098,Treg,5
3407.095238,541.4074074,Stroma,5
651.5740741,542.4259259,Tumor,6
2849.305118,542.1692913,Stroma,5
957.6363636,542.0909091,MPtoDC,1
1973.198157,544.3271889,Stroma,5
3240.025304,546.6639676,Epithelial,5
1281.928571,547.0702948,Tumor,1
1065.502013,549.1261745,Stroma,1
3314.935264,547.6303237,Treg,5
1309.352941,548.0,Tumor,1
510.8992974,548.6018735,Tumor,6
2736.154321,546.9074074,Stroma,5
1660.374768,549.3135436,Tcyt,5
2481.076336,550.0916031,Thelp,5
2673.727811,550.5621302,Stroma,5
3337.369427,551.6783439,Treg,5
2127.684628,550.7971474,Stroma,5
606.3966942,553.4917355,Tumor,6
3574.640657,552.4661191,Treg,5
1429.55687,552.9490446,Tumor,1
2760.669535,552.595525,Tcyt,5
548.6792453,555.1341719,Tumor,6
2513.469649,552.6757188,Thelp,5
2878.891026,554.0512821,Stroma,5
1249.746988,554.9578313,Tumor,1
2782.737705,555.147541,Tcyt,5
492.7607362,554.9018405,Tumor,6
1900.957497,556.677686,Tcyt,5
2234.105568,557.4095128,Stroma,5
1688.438596,558.3333333,Tumor,1
959.5653153,558.9459459,Stroma,1
1485.135889,558.8850174,Tumor,1
1502.034762,546.7089733,Tumor,1
3279.628931,559.8742138,Epithelial,5
1017.653846,561.4423077,Stroma,1
2722.720067,560.8195616,Epithelial,5
2817.556901,562.6368039,Epithelial,5
575.907441,562.3067151,Tumor,6
2925.087629,562.685567,Stroma,5
3433.607143,563.9285714,Tumor,5
3460.989247,562.7741935,Tumor,5
491.1956522,564.8804348,Tumor,6
3207.728659,563.3445122,Epithelial,5
623.0887446,569.54329,Tumor,6
2588.894207,566.0277078,Epithelial,5
1955.482759,566.1293103,Thelp,5
2525.984556,566.1119691,Epithelial,5
1400.881988,567.2406832,Tumor,1
761.2971286,568.7191011,Tumor,1
2279.30814,567.9709302,Treg,5
2411.684211,568.4561404,Thelp,5
2297.16129,568.6129032,Stroma,5
662.6132075,571.5125786,Stroma,6
831.6589769,572.0431294,Tumor,1
2642.498423,570.8233438,Stroma,5
3137.044543,575.0155902,Stroma,5
1025.971014,572.5652174,Stroma,1
2434.811303,574.947318,Thelp,5
2614.767296,572.8993711,Thelp,5
984.9468864,572.7564103,Stroma,1
2540.59751,574.1659751,Epithelial,5
2557.805851,565.7526596,Epithelial,5
859.9680639,574.8143713,Tumor,1
3563.217054,573.0542636,Epithelial,5
1441.382716,575.7139918,Tumor,1
1084.466292,575.9662921,Stroma,1
1105.753593,577.6919918,Stroma,1
3579.533333,577.2333333,Epithelial,5
649.0925926,577.9320988,Stroma,6
2814.851528,577.1703057,Epithelial,5
1207.977528,579.0314607,Tumor,1
1850.07722,578.8185328,Tumor,5
3286.152954,579.7183544,Treg,5
2054.018328,580.0091638,Epithelial,5
1060.938242,581.216152,Stroma,1
3441.153266,579.6859296,Tumor,5
486.1834862,582.0298165,Tumor,6
784.6355422,583.4201807,Tumor,1
2391.344633,584.519774,MPtoDC,5
2663.588889,585.1466667,Epithelial,5
2987.236559,584.25,Stroma,5
3499.06,584.92,Tumor,5
1460.149533,584.376947,Tumor,1
1897.857997,585.3826607,Tcyt,5
1496.196809,584.3829787,Tumor,5
571.2302285,585.0896309,Tumor,6
708.4006488,586.5109489,Tumor,1
2018.33593,582.0146056,Treg,5
2526.778182,586.7672727,Stroma,5
2695.250923,585.6937269,Treg,5
2247.944712,587.40625,Stroma,5
1784.696658,583.0462725,Stroma,5
4105.671111,595.0977778,Tumor,5
1388.460389,588.8340807,Tumor,1
1039.722772,589.3663366,Stroma,1
535.7604307,590.5060565,Tumor,6
1329.219335,588.5675676,Tumor,1
1099.646341,590.1158537,Stroma,1
2172.0,591.5,Stroma,5
1478.665546,595.5613445,Tumor,1
1606.06304,594.7996546,Tumor,1
1026.143868,593.3443396,Stroma,1
758.1207951,593.9036697,Tumor,1
1426.454867,594.5787611,Tumor,1
644.9474836,596.45186,Tumor,6
510.978626,595.6,Tumor,6
1071.630814,596.6860465,Stroma,1
592.5549065,596.2161215,Tumor,6
1811.981019,597.1598402,Tcyt,5
1938.93097,595.8600746,Stroma,5
2484.153125,597.01875,Stroma,5
2962.819253,598.8722986,MPtoDC,5
1793.439863,599.6013746,Tumor,5
2022.938272,598.2716049,Treg,5
3519.283505,598.2860825,Tumor,5
3541.415929,597.2743363,Epithelial,5
1055.064748,597.7985612,Stroma,1
1355.756707,598.0814061,Tumor,1
3220.131765,600.3952941,Epithelial,5
1982.830317,599.6425339,MPtoDC,5
3174.5,601.5,Stroma,5
2770.517745,603.1002088,Tcyt,5
2641.114901,603.513465,Epithelial,5
2664.681301,604.9739837,Epithelial,5
2941.266436,601.5986159,Epithelial,5
3469.655836,602.3116727,Tumor,5
1131.15956,603.6024759,Stroma,1
3559.368421,604.0789474,Stroma,5
3349.865979,605.2835052,Treg,5
4103.325581,604.6046512,Epithelial,5
1411.567723,604.2276657,Tumor,1
796.7534247,605.9128269,Tumor,1
2695.301587,605.952381,Epithelial,5
3660.983927,606.9219288,MPtoDC,5
1314.917526,608.935567,Tumor,1
2156.003401,607.0952381,Stroma,5
2598.433333,609.4333333,Stroma,5
2507.675422,607.5046904,Stroma,5
2792.313485,608.2486865,MPtoDC,5
932.7292724,610.9153976,Tumor,1
2145.535211,613.3732394,Stroma,5
723.4755332,610.476788,Tumor,1
2078.092857,610.9142857,Epithelial,5
2892.601861,613.8779731,Epithelial,5
3499.184453,611.3544137,Tumor,5
1461.144068,612.8276836,Tumor,1
1624.632361,627.5943864,Tcyt,1
2746.705357,614.5833333,Stroma,5
2462.050847,604.9698682,Stroma,5
830.0896465,614.2840909,Tumor,1
902.2421652,614.005698,Tumor,1
4124.545455,613.1818182,Tumor,5
570.628483,612.5913313,Tumor,6
1088.444134,614.8743017,Stroma,1
3028.412356,615.6163793,Stroma,5
3072.699721,615.3337989,Treg,5
742.8220721,616.6396396,Tumor,1
3201.278075,616.7540107,Epithelial,5
491.9397781,616.5515055,Tumor,6
2184.0,617.2083333,Stroma,5
2774.05,617.45,Tcyt,5
2489.184588,617.4892473,Stroma,5
600.7338936,618.9047619,Tumor,6
2338.01548,621.0743034,Treg,5
2362.581281,614.7931034,Tcyt,5
2813.618929,620.8044832,Thelp,5
3614.021622,618.5405405,Stroma,5
537.0539957,622.2483801,Tumor,6
2366.512821,623.0384615,Treg,5
2542.228033,623.1966527,Stroma,5
4114.255172,623.5885057,Tumor,5
616.6238245,624.5360502,Tumor,6
1151.10184,625.1852761,Stroma,1
2117.92569,623.1932059,Treg,5
3266.104972,624.0994475,Stroma,5
1178.110714,624.1428571,Tumor,1
462.1322233,625.331048,Tumor,6
1076.75,624.25,Tumor,1
3011.616531,625.1436314,Stroma,5
883.7478261,625.1217391,Tumor,1
3207.60793,626.2643172,Epithelial,5
557.9236453,627.2807882,Tumor,6
629.4728033,624.4686192,Tumor,6
804.3057229,629.0978916,Tumor,1
2264.745597,628.481409,Stroma,5
3240.466447,629.909791,Epithelial,5
1724.741935,631.2580645,Tumor,1
3512.782152,631.335958,Tumor,5
397.0,631.2647059,Tumor,6
1559.960731,630.4045662,Tumor,1
3188.479518,631.5614458,Epithelial,5
694.5224072,631.0473752,Tumor,6
2660.331839,630.970852,Epithelial,5
506.9635158,631.7529022,Tumor,6
3453.995066,632.15625,Tumor,5
873.4692982,631.7565789,Tumor,1
889.2432432,634.9459459,Tumor,1
2568.714286,634.4285714,Stroma,5
4147.459391,635.1472081,Stroma,5
737.748538,638.0497076,Tumor,1
2731.191436,636.7758186,Thelp,5
2776.160714,639.0071429,Stroma,5
1452.323572,637.4143485,Tumor,1
2429.960289,638.3483755,Epithelial,5
2009.665772,639.2993289,Stroma,5
1747.131148,643.8360656,Tumor,1
583.5458937,640.6956522,Tumor,6
2452.435897,641.2307692,Epithelial,5
303.7724138,641.0344828,Treg,6
1421.70346,641.2026359,Tumor,1
1871.360544,642.5034014,Tumor,5
2384.831021,641.8171501,Epithelial,5
3484.662201,648.6076555,Tumor,5
1279.27044,643.3574423,Tumor,1
527.5954198,643.919084,Tumor,6
1162.169444,644.85,Stroma,1
1983.467005,647.3883249,Stroma,5
1496.809777,646.8299681,Tumor,1
1192.618253,646.2973503,Stroma,1
813.8713911,649.8661417,Tumor,1
2870.756701,647.6474227,MPtoDC,5
3377.581633,647.8877551,Tumor,5
2703.436275,650.7859477,Thelp,5
3103.838141,644.5112179,Stroma,5
3181.336884,650.8015979,Epithelial,5
3509.75,650.6666667,Tumor,5
607.8685801,649.1374622,Tumor,6
